"n" "True_beta_1" "True_beta_0" "True_beta_diff" "FSTAT_G2" "FSTAT_G" "BETA_0_EST" "SD_BETA_0_EST" "BETA_1_EST" "SD_BETA_1_EST" "BETA1_BETA0_EST" "SD_BETA1_BETA0_EST" "LCI_BETA_1" "HCI_BETA_1" "LCI_BETA_0" "HCI_BETA_0" "LCI_BETA1_BETA0" "HCI_BETA1_BETA0" "power_beta_0" "power_beta_0_LCI" "power_beta_0_HCI" "power_beta_1" "power_beta_1_LCI" "power_beta_1_HCI" "power_rgmte" "power_rgmte_LCI" "power_rgmte_HCI" "coverage_beta0" "coverage_beta0_lower" "coverage_beta0_higher" "coverage_beta1" "coverage_beta1_lower" "coverage_beta1_higher" "coverage_beta_diff" "coverage_beta_diff_lower" "coverage_beta_diff_higher"
7000 -168 -163 -5 102.991344908964 7.38521589399235 -161.584655786124 118.661502978565 -166.086921605958 106.472380938101 -4.50226581983332 45.5929226502562 -374.768953592865 42.5951103809495 -394.156927975505 70.9876164032559 -93.862752164256 84.8582205245893 28.64 27.386925141791 29.893074858209 35.12 33.7968905750599 36.4431094249401 5.14 4.52795097771869 5.75204902228132 0.947 0.940790222875667 0.953209777124333 0.947 0.940790222875667 0.953209777124333 0.9492 0.943113413340792 0.955286586659208
3e+05 -200 -185 -15 4380.38816290677 272.756011195343 -185.108775590734 17.7533214344424 -200.079576369876 15.8064933385685 -14.9708007791424 6.80814479230613 -231.059734035343 -169.09941870441 -219.904646208204 -150.312904973264 -28.3145193735964 -1.62708218468851 100 100 100 100 100 100 58.64 57.2749444196404 60.0050555803596 0.954 0.94819347644649 0.95980652355351 0.9528 0.946921927174359 0.958678072825641 0.9544 0.948617565453717 0.960182434546283
5e+05 -200 -185 -15 7306.0135539923 454.66095969624 -185.143777847813 13.8918596276353 -200.056660983041 12.4084570274498 -14.9128831352282 5.28984727851862 -224.376789860556 -175.736532105527 -212.371322396264 -157.916233299362 -25.2807932848419 -4.5449729856145 100 100 100 100 100 100 80.02 78.9116929282963 81.1283070717037 0.9476 0.941423516886887 0.953776483113113 0.9508 0.944804985653088 0.956795014346912 0.9516 0.945651424386518 0.957548575613482
7000 -220 -200 -20 102.991344908964 7.38521589399235 -198.559936996481 118.670204956147 -218.049157942843 106.489317721578 -19.489220946362 45.5936582085903 -426.764385415378 -9.33393047030702 -431.149264748515 34.0293907555535 -108.851148958628 69.872707065904 39.44 38.0853581913002 40.7946418086998 55.02 53.6410989337251 56.3989010662749 6.94 6.23559188881653 7.64440811118347 0.9478 0.94163466481386 0.95396533518614 0.9476 0.941423516886887 0.953776483113113 0.9498 0.943747552513035 0.955852447486965
10000 -220 -200 -20 147.362298424211 10.1515456599853 -201.626822716774 96.7821885124896 -221.138698303258 87.8825197598654 -19.5118755864849 37.9028316389459 -393.385271903224 -48.8921247032927 -391.316426546219 -11.9372188873279 -93.8000605109042 54.7763093379343 54.22 52.8390411435185 55.6009588564815 72.36 71.1204005145422 73.5995994854578 7.92 7.17147150977142 8.66852849022858 0.9538 0.94798147726393 0.95961852273607 0.9514 0.945439773047784 0.957360226952216 0.951 0.945016553842717 0.956983446157283
50000 -220 -200 -20 731.316023997113 46.5337973119272 -200.662627611407 43.1787309281827 -220.583026939192 38.7657428547884 -19.9203993277847 16.8054575580852 -296.562486768518 -144.603567109866 -285.291385128791 -116.033870094024 -52.858490885348 13.0176922297787 99.6 99.4250464522129 99.7749535477871 100 100 100 20.72 19.5965861206205 21.8434138793795 0.9522 0.946286547322295 0.958113452677705 0.9512 0.94522814958734 0.95717185041266 0.953 0.947133778353357 0.958866221646643
1e+05 -220 -200 -20 1459.98377796602 91.3539779964497 -200.252924082224 30.174832810378 -220.289195427359 26.9324292798351 -20.0362713451349 11.7394595219999 -273.075786832008 -167.50260402271 -259.394509630083 -141.111338534366 -43.0451892062205 2.97264651595081 100 100 100 100 100 100 38.74 37.389696500237 40.090303499763 0.951 0.945016553842717 0.956983446157283 0.9594 0.953929513347818 0.964870486652182 0.956 0.950315158334066 0.961684841665934
2e+05 -220 -200 -20 2919.00720517999 182.74058681573 -199.765408614406 21.5053756527758 -219.709472267019 19.3868444608104 -19.9440636526127 8.28345850208143 -257.706989184087 -181.711955349951 -241.915170367852 -157.615646860961 -36.1793439841244 -3.70878332110098 100 100 100 100 100 100 65.36 64.0411115885904 66.6788884114096 0.9546 0.94882965565678 0.96037034434322 0.951 0.945016553842717 0.956983446157283 0.9552 0.949466111377859 0.960933888622141
3e+05 -220 -200 -20 4380.38816290677 272.756011195343 -200.101175654224 17.7533020706057 -220.065842929722 15.8068516452837 -19.9646672754976 6.80852167282025 -251.046702863445 -189.084982995998 -234.897008319272 -165.305342989177 -33.3091245421857 -6.62021000880952 100 100 100 100 100 100 82.88 81.8359054225931 83.9240945774069 0.9544 0.948617565453717 0.960182434546283 0.9534 0.947557568610113 0.959242431389887 0.9546 0.94882965565678 0.96037034434322
5e+05 -220 -200 -20 7306.0135539923 454.66095969624 -200.136588774927 13.8920773494624 -220.043668056041 12.4087871441368 -19.9070792811142 5.28970687259002 -244.364443950373 -195.722892161709 -227.364560050318 -172.908617499536 -30.2747142401646 -9.53944432206377 100 100 100 100 100 100 96.34 95.8195165165742 96.8604834834259 0.9478 0.94163466481386 0.95396533518614 0.9516 0.945651424386518 0.957548575613482 0.9518 0.945863103767677 0.957736896232323
10000 -168 -163 -5 147.362298424211 10.1515456599853 -164.64943446537 96.7733568336717 -169.174179899632 87.8589896870349 -4.52474543426223 37.8952087981711 -341.374635404296 3.02627560503251 -354.321728522409 25.0228595916699 -78.7979898653029 69.7484989967784 39.14 37.7871816873648 40.4928183126352 48.32 46.9348787115664 49.7051212884336 5.34 4.71681503434321 5.96318496565679 0.9534 0.947557568610113 0.959242431389887 0.9502 0.944170444830058 0.956229555169942 0.95 0.943958985284193 0.956041014715807
50000 -168 -163 -5 731.316023997113 46.5337973119272 -163.691541338928 43.1782632723424 -168.628818819462 38.7614074360107 -4.93727748053396 16.8024244930521 -244.599781384126 -92.6578562547984 -248.319382267708 -79.0637004101487 -37.8694243398698 27.9948693788018 96.54 96.0334121313055 97.0465878686945 99.16 98.9070288523984 99.4129711476016 6 5.34173215559751 6.65826784440249 0.9512 0.94522814958734 0.95717185041266 0.95 0.943958985284193 0.956041014715807 0.952 0.946074811357088 0.957925188642912
1e+05 -168 -163 -5 1459.98377796602 91.3539779964497 -163.278358686632 30.1762410705225 -168.329415800745 26.9333964534615 -5.05105711411359 11.7383804072879 -221.117902830869 -115.540928770622 -222.422704373654 -104.134012999609 -28.0578599492285 17.9557457210014 99.96 99.9045749353656 100.015425064634 100 100 100 6.78 6.08316094185566 7.47683905814434 0.9502 0.944170444830058 0.956229555169942 0.9586 0.953078183479752 0.964121816520248 0.9558 0.95010284891785 0.96149715108215
2e+05 -168 -163 -5 2919.00720517999 182.74058681573 -162.790499296632 21.5061875395891 -167.749248997437 19.387817834686 -4.95874970080495 8.28312306699034 -205.748673692245 -129.749824302629 -204.941852318991 -120.639146274273 -21.193372591619 11.2758731900091 100 100 100 100 100 100 8.76 7.97637590688786 9.54362409311214 0.9534 0.947557568610113 0.959242431389887 0.9502 0.944170444830058 0.956229555169942 0.955 0.94925392842336 0.96074607157664
3e+05 -168 -163 -5 4380.38816290677 272.756011195343 -163.126644861443 17.7534648929287 -168.106277530985 15.806097480082 -4.97963266954239 6.80768889253526 -199.085659328075 -137.126895733895 -197.922796652379 -128.330493070506 -18.3224577168649 8.36319237778008 100 100 100 100 100 100 11.32 10.4417884500599 12.1982115499401 0.9536 0.947769508046526 0.959430491953474 0.9522 0.946286547322295 0.958113452677705 0.9538 0.94798147726393 0.95961852273607
5e+05 -168 -163 -5 7306.0135539923 454.66095969624 -163.160687260369 13.8914263086302 -168.081924643539 12.4080467174561 -4.92123738316992 5.29011469337749 -192.401249328243 -143.762599958835 -190.387382519176 -135.933992001562 -15.2896716562759 5.44719688993611 100 100 100 100 100 100 15.42 14.4189883864432 16.4210116135568 0.947 0.940790222875667 0.953209777124333 0.9494 0.943324766690555 0.955475233309445 0.9508 0.944804985653088 0.956795014346912
7000 -180 -170 -10 102.991344908964 7.38521589399235 -168.574791878629 118.664993960578 -178.074758795933 106.477165231374 -9.49996691730374 45.593010751145 -386.766167825346 30.6166502334797 -401.153906267026 64.004322509767 -98.8606259362953 79.8606921016879 30.7 29.4215054121652 31.9784945878348 40.08 38.721646370164 41.438353629836 5.62 4.98163181701251 6.25836818298749 0.9474 0.941212394011223 0.953587605988777 0.9472 0.941001296052013 0.953398703947987 0.9492 0.943113413340792 0.955286586659208
10000 -180 -170 -10 147.362298424211 10.1515456599853 -171.640354154871 96.7766451490538 -181.162782813289 87.8659986340648 -9.52242865841809 37.8965071080348 -353.376975601701 -8.94859002487618 -361.319093191629 18.0383848818877 -83.7982177300325 64.7533604131963 42.18 40.8111513870885 43.5488486129115 54.42 53.0395219106679 55.8004780893322 5.86 5.20897300983636 6.51102699016364 0.9536 0.947769508046526 0.959430491953474 0.9504 0.944381931303581 0.956418068696419 0.9502 0.944170444830058 0.956229555169942
