"n" "True_beta_1" "True_beta_0" "True_beta_diff" "FSTAT_G2" "BETA_0_EST" "SD_BETA_0_EST" "BETA_1_EST" "SD_BETA_1_EST" "BETA1_BETA0_EST" "SD_BETA1_BETA0_EST" "LCI_BETA_1" "HCI_BETA_1" "LCI_BETA_0" "HCI_BETA_0" "LCI_BETA1_BETA0" "HCI_BETA1_BETA0" "power_beta_0" "power_beta_0_LCI" "power_beta_0_HCI" "power_beta_1" "power_beta_1_LCI" "power_beta_1_HCI" "power_rgmte" "power_rgmte_LCI" "power_rgmte_HCI" "coverage_beta0" "coverage_beta0_lower" "coverage_beta0_higher" "coverage_beta1" "coverage_beta1_lower" "coverage_beta1_higher" "coverage_beta_diff" "coverage_beta_diff_lower" "coverage_beta_diff_higher"
7000 -168 -163 -5 102.917526389466 -160.476372910807 110.861488409204 -166.569420508017 110.608298852283 -6.09304759720957 26.1593170867451 -383.357702649735 50.2188616337017 -377.760897465351 56.808151643737 -57.3643669473933 45.1782717529741 31.7 30.410257319674 32.989742680326 32.06 30.7663773258302 33.3536226741698 5.98 5.32276027649517 6.63723972350483 0.944 0.937627012017944 0.950372987982056 0.9534 0.947557568610113 0.959242431389887 0.9478 0.94163466481386 0.95396533518614
3e+05 -200 -185 -15 4376.60551113601 -184.560018039582 16.5946856770794 -200.511990505421 16.4375339381702 -15.9519724658389 3.9608548905137 -232.728965018889 -168.295015991952 -217.08500430142 -152.035031777743 -23.7151053992351 -8.18883953244269 100 100 100 100 100 100 98.06 97.6776950701869 98.4423049298131 0.9482 0.942057036367584 0.954342963632416 0.9606 0.955207595146496 0.965992404853504 0.9436 0.937205647012608 0.949994352987392
5e+05 -200 -185 -15 7299.73633341956 -184.556309974872 12.9161242695407 -200.502971572743 12.9682559888676 -15.9466615978709 3.11184850055194 -225.92028625322 -175.085656892267 -209.871448363016 -159.241171586729 -22.0457725842977 -9.84755061144414 100 100 100 100 100 100 99.92 99.8416328063166 99.9983671936834 0.9476 0.941423516886887 0.953776483113113 0.954 0.94819347644649 0.95980652355351 0.9362 0.929425804178824 0.942974195821176
7000 -220 -200 -20 102.917526389466 -197.476372910835 110.861488409204 -218.569420508045 110.608298852283 -21.0930475972096 26.1593170867451 -435.357702649763 -1.7811383663261 -414.76089746538 19.8081516437097 -72.3643669473933 30.1782717529741 44.36 42.9829414113239 45.7370585886761 50.02 48.6340962865226 51.4059037134774 12.96 12.0290528412674 13.8909471587326 0.9446 0.938259230852454 0.950940769147546 0.9546 0.94882965565678 0.96037034434322 0.9478 0.94163466481386 0.95396533518614
10000 -220 -200 -20 147.230798652511 -200.989282505251 91.2552983814137 -221.823222443906 90.6464488601013 -20.8339399386548 21.8157633209409 -399.486997536156 -44.1594473516558 -379.846380731278 -22.1321842792241 -63.5920503429489 21.9241704656393 60.7 59.3462024943623 62.0537975056377 67.66 66.3634206713698 68.9565793286302 15.64 14.6331848342403 16.6468151657597 0.9482 0.942057036367584 0.954342963632416 0.9588 0.953290962741967 0.964309037258033 0.9518 0.945863103767677 0.957736896232323
50000 -220 -200 -20 730.658750649169 -200.154776361004 40.5319564674516 -221.095781744921 40.334484295328 -20.9410053839168 9.78012155954961 -300.14991829876 -142.041645191081 -279.595951260154 -120.713601461853 -40.1096914050577 -1.77231936277584 99.9 99.8123915830314 99.9876084169686 99.98 99.9408046404332 100.019195359567 57.2 55.828540498121 58.571459501879 0.9466 0.940368150343432 0.952831849656568 0.9566 0.950952280200969 0.962247719799031 0.949 0.942902086168815 0.955097913831185
1e+05 -220 -200 -20 1458.69632157996 -199.751824062562 28.1589888821594 -220.758065656554 27.9734940982676 -21.0062415939923 6.85583987889795 -275.585106610903 -165.931024702206 -254.942428112658 -144.561220012466 -34.4434408404057 -7.56904234757888 100 100 100 100 100 100 85.94 84.9764962176546 86.9035037823454 0.9528 0.946921927174359 0.958678072825641 0.9594 0.953929513347818 0.964870486652182 0.949 0.942902086168815 0.955097913831185
2e+05 -220 -200 -20 2916.47988344176 -199.269540959521 20.1680759471586 -220.110790614475 20.1017255331315 -20.8412496549537 4.88273054642336 -259.509448686522 -180.712132542428 -238.79824345342 -159.740838465622 -30.411225672157 -11.2712736377503 100 100 100 100 100 100 98.84 98.5432037209764 99.1367962790236 0.9498 0.943747552513035 0.955852447486965 0.9566 0.950952280200969 0.962247719799031 0.9472 0.941001296052013 0.953398703947987
3e+05 -220 -200 -20 4376.60551113601 -199.560018039593 16.5946856770794 -220.511990505432 16.4375339381701 -20.9519724658389 3.9608548905137 -252.7289650189 -188.295015991964 -232.085004301431 -167.035031777755 -28.7151053992351 -13.1888395324427 100 100 100 100 100 100 99.96 99.9045749353656 100.015425064634 0.9482 0.942057036367584 0.954342963632416 0.961 0.955633920702397 0.966366079297603 0.9436 0.937205647012608 0.949994352987392
5e+05 -220 -200 -20 7299.73633341956 -199.556309974884 12.9161242695408 -220.502971572755 12.9682559888677 -20.9466615978709 3.11184850055194 -245.920286253231 -195.085656892278 -224.871448363028 -174.24117158674 -27.0457725842977 -14.8475506114441 100 100 100 100 100 100 100 100 100 0.9482 0.942057036367584 0.954342963632416 0.954 0.94819347644649 0.95980652355351 0.9362 0.929425804178824 0.942974195821176
