"n" "FSTAT_G2" "BETA1_BETA0_EST" "SD_BETA1_BETA0_EST" "BETA_0_EST" "SD_BETA_0_EST" "BETA_1_EST" "SD_BETA_1_EST" "LCI_BETA1_BETA0" "HCI_BETA1_BETA0" "LCI_BETA_0" "HCI_BETA_0" "LCI_BETA_1" "HCI_BETA_1" "mean_S" "sd_S" "mean_G" "sd_G" "mean_G2" "sd_G2" "mean_Y" "sd_Y" "power_rgmte" "power_rgmte_LCI" "power_rgmte_HCI" "power_beta_0" "power_beta_0_LCI" "power_beta_0_HCI" "power_beta_1" "power_beta_1_LCI" "power_beta_1_HCI" "coverage_beta0" "coverage_beta0_lower" "coverage_beta0_higher" "coverage_beta_diff" "coverage_beta_diff_lower" "coverage_beta_diff_higher" "coverage_beta1" "coverage_beta1_lower" "coverage_beta1_higher"
"V11" 4000 58.0517959630062 -100.008991178307 35.0927738426255 -102.220549569359 152.728932110798 -202.229540747666 151.817458950819 -168.789564027462 -31.2284183291518 -401.563755903786 197.122656765068 -499.786292515659 95.327211020327 0.244715775 0.429900481925504 0.5498693 0.497507002729106 0.3999869875 0.489892707927427 3506.08638205447 477.292803641622 81.135 80.5927923781367 81.6772076218633 10.965 10.5319701917251 11.3980298082749 26.24 25.6302869892892 26.8497130107109 0.9453 0.942148541552161 0.948451458447839 0.94975 0.946722349243007 0.952777650756993 0.9538 0.950890738631965 0.956709261368035
"V12" 5000 72.3697614704235 -99.7326538584888 31.4767679384255 -100.352208695573 135.507210485142 -200.084862554062 135.170402540555 -161.425985367528 -38.0393223494498 -365.941460891939 165.237043500793 -465.013983309331 64.844258201208 0.24477954 0.429941521573221 0.55006076 0.497485798218508 0.40008846 0.489914688722775 3506.0991451798 477.346208183475 89.025 88.5917971064358 89.4582028935642 12.08 11.628341279341 12.531658720659 31.62 30.9755658090034 32.2644341909966 0.946 0.942867612073862 0.949132387926138 0.94825 0.945179919975327 0.951320080024673 0.95545 0.952590692063306 0.958309307936694
"V13" 6000 86.3804788419955 -99.9081439122699 28.498685485404 -102.818229444717 123.153972870919 -202.726373356986 122.691213201966 -155.764541070396 -44.0517467541437 -344.19558082474 138.559121935307 -443.196732452364 37.7439857383913 0.24469415 0.429893171790217 0.549998416666667 0.497493516183455 0.400009 0.48989780804171 3506.05703015927 477.35241000032 93.67 93.3325299713931 94.0074700286069 13.845 13.366348067557 14.323651932443 37.335 36.6646467905033 38.0053532094967 0.9475 0.94440897616305 0.95059102383695 0.9512 0.94821407479367 0.95418592520633 0.95385 0.950942237121549 0.95675776287845
"V14" 7000 100.729368705919 -100.081184247255 26.5820154919536 -100.507882079586 114.002375880127 -200.589066326842 113.748088511046 -152.18097724797 -47.9813912465406 -323.948432956632 122.932668797459 -423.531223118766 22.353090465083 0.244719542857143 0.429909581337775 0.550009678571429 0.497492402459388 0.399990235714286 0.489894647205244 3506.04966713135 477.366804593943 96.535 96.2815296799977 96.7884703200023 15.105 14.6087111543348 15.6012888456652 41.855 41.1713041342792 42.5386958657208 0.94565 0.942508058599676 0.948791941400324 0.95105 0.948059725094669 0.954040274905331 0.951 0.948008276921358 0.953991723078641
"V15" 8000 115.148900904566 -100.116625775195 24.6485107819893 -100.956241275406 105.948443542061 -201.072867050601 105.706095820211 -148.426819180441 -51.8064323699486 -308.61137483592 106.698892285108 -408.253007804554 6.10727370335246 0.2446561125 0.429873679650731 0.54999893125 0.497492873838923 0.400026025 0.489901699010893 3506.054352304 477.316215318915 98.11 97.9212788244449 98.2987211755551 16.625 16.1090212172463 17.1409787827537 47.105 46.413210592401 47.796789407599 0.94615 0.943021717653621 0.949278282346379 0.95235 0.949397684009791 0.955302315990209 0.95355 0.950633260201303 0.956466739798697
"V16" 9000 128.92224228853 -100.078094113258 23.4980465444206 -100.363378823826 99.6560371466562 -200.441472937084 99.4318340433446 -146.133419047368 -54.0227691791479 -295.685622473258 94.9588648256058 -395.324286578803 -5.55865929536515 0.244681188888889 0.429889346100756 0.549957205555556 0.497497741479796 0.400053055555556 0.489907299386511 3506.02596176751 477.395229360807 98.955 98.8140678394237 99.0959321605763 17.695 17.1661025339701 18.2238974660299 51.13 50.4372250764871 51.8227749235129 0.9472 0.944100648026006 0.950299351973994 0.9509 0.947905383156758 0.953894616843242 0.95375 0.950839241078787 0.956660758921213
"V17" 10000 143.40285553365 -99.9999620637534 22.3101972516725 -100.128335676394 94.3269657008861 -200.128297740147 94.1091808968881 -143.727145165016 -56.2727789624908 -285.005791221075 84.7491198682881 -384.578902912613 -15.6776925676816 0.244732555 0.429921499073693 0.5499533 0.497498341644766 0.40005652 0.489908342044405 3506.0710227238 477.314508344866 99.5 99.4022471032834 99.5977528967166 19.21 18.6640214514031 19.7559785485969 55.63 54.9414549863792 56.3185450136208 0.9477 0.944614543855241 0.950785456144759 0.947 0.943895111437833 0.950104888562167 0.95465 0.951766341500151 0.957533658499849
"V18" 20000 285.994953536423 -100.087792588366 15.5874246534561 -99.5713391363927 66.3119306461403 -199.659131724759 66.2614804772718 -130.638583520872 -69.5370016558604 -229.540334948145 30.3976566753601 -329.529247022515 -69.7890164270021 0.2447685975 0.42994623558739 0.54999304 0.497494380403558 0.4000099325 0.489899532423997 3506.06945888486 477.352983861026 100 100 100 32.945 32.2936064820653 33.5963935179347 84.88 84.3835086640498 85.3764913359502 0.9462 0.943073087685237 0.949326912314763 0.9518 0.948831551883838 0.954768448116162 0.95345 0.950530275343623 0.956369724656377
"V19" 50000 713.342574927278 -99.9780167987438 9.86793817158194 -99.8168465623052 41.8179027136934 -199.794863361049 41.6904706449327 -119.318820216712 -80.6372133807752 -181.778429790144 -17.8552633344663 -281.506684323641 -118.083042398457 0.244750267 0.42993746757254 0.550019248 0.497491694700794 0.399992633 0.489896238282229 3506.06644185267 477.376347678719 100 100 100 67.215 66.564415385321 67.865584614679 99.77 99.7036108669644 99.8363891330356 0.94885 0.945796803940679 0.951903196059321 0.9493 0.946259543367147 0.952340456632853 0.95685 0.954033917175385 0.959666082824615
"V20" 80000 1140.77091194727 -99.9903732730177 7.95997331899731 -100.309645197912 33.0456288970308 -200.30001847093 32.9437965098882 -115.591634296152 -84.3891122498832 -165.077887682568 -35.5414027132553 -264.868673144327 -135.731363797532 0.244717618125 0.429918709304055 0.54999519375 0.497494223008214 0.4000083825 0.48989953098748 3506.07541990736 477.363112533398 100 100 100 86.595 86.1228142128474 87.0671857871526 100 100 100 0.9474 0.944306197005611 0.950493802994389 0.9463 0.94317583001195 0.94942416998805 0.9531 0.9501698574484 0.9560301425516
